enrollment_id,student_id,course_id,enrolled_date,completion_date,completion_pct,certificate_issued,last_accessed
ENR000030,STU00012,CRS008,2024-06-09,,8,false,2024-12-29
ENR000031,STU00012,CRS011,2023-06-02,,9,false,2024-02-21
ENR000032,STU00012,CRS014,2023-06-20,,3,false,2024-09-13
ENR000033,STU00013,CRS029,2023-11-03,,15,false,2024-12-17
ENR000034,STU00014,CRS018,2024-11-29,2025-03-11,100,true,2025-03-15
ENR000035,STU00014,CRS005,2023-12-31,,86,false,2024-06-15
ENR000036,STU00015,CRS006,2024-08-10,,70,false,2024-08-25
ENR000037,STU00015,CRS020,2024-10-24,2025-03-11,100,true,2025-03-11
ENR000038,STU00015,CRS011,2024-05-12,,40,false,2024-12-02
ENR000039,STU00015,CRS047,2024-04-09,,9,false,2024-06-04
ENR000040,STU00015,CRS050,2024-04-26,2024-12-18,100,true,2024-12-26
ENR000041,STU00015,CRS005,2024-08-25,,85,false,2025-01-05
ENR000042,STU00015,CRS003,2024-07-22,,1,false,2025-01-17
ENR000043,STU00015,CRS035,2025-03-04,,3,false,2025-03-11
ENR000044,STU00015,CRS019,2024-09-18,,7,false,2024-09-20
ENR000045,STU00015,CRS042,2024-08-10,,8,false,2025-02-25
ENR000046,STU00015,CRS024,2024-02-26,,18,false,2024-03-19
ENR000047,STU00017,CRS005,2022-11-16,,86,false,2024-09-20
ENR000048,STU00017,CRS006,2024-05-26,,38,false,2024-06-05
ENR000049,STU00017,CRS050,2023-01-27,,5,false,2024-03-11
ENR000050,STU00018,CRS044,2022-04-02,,17,false,2024-03-11
ENR000051,STU00020,CRS042,2023-06-24,2024-05-29,100,true,2024-05-29
ENR000052,STU00020,CRS022,2024-08-09,,6,false,2025-01-08
ENR000053,STU00020,CRS006,2024-05-16,,55,false,2024-08-31
ENR000054,STU00020,CRS030,2024-05-24,,8,false,2025-02-09
ENR000055,STU00020,CRS008,2023-07-31,,8,false,2023-12-15
ENR000056,STU00020,CRS046,2023-10-16,,52,false,2024-08-18
ENR000057,STU00020,CRS020,2024-08-12,,7,false,2025-01-19
ENR000058,STU00020,CRS040,2024-10-02,,4,false,2025-01-05
ENR000059,STU00020,CRS031,2024-12-21,,5,false,2025-01-26
ENR000060,STU00020,CRS019,2023-09-10,2025-02-17,100,true,2025-03-03
ENR000061,STU00020,CRS045,2023-10-11,,9,false,2024-06-21
ENR000062,STU00021,CRS035,2024-03-06,,2,false,2024-11-12
ENR000063,STU00021,CRS019,2024-03-18,,60,false,2024-09-18
ENR000064,STU00021,CRS046,2024-04-13,,4,false,2024-10-18
ENR000065,STU00021,CRS014,2024-02-29,,35,false,2024-07-19
ENR000066,STU00022,CRS004,2024-09-08,,57,false,2024-12-01
ENR000067,STU00022,CRS031,2025-02-09,,51,false,2025-02-19
ENR000068,STU00022,CRS009,2024-09-11,,84,false,2025-01-05
ENR000069,STU00022,CRS033,2025-01-15,2025-02-09,100,true,2025-02-26
ENR000070,STU00022,CRS041,2024-11-25,,9,false,2025-02-20
ENR000071,STU00022,CRS014,2024-10-20,,6,false,2024-10-29
ENR000072,STU00023,CRS018,2023-08-10,,7,false,2025-01-23
ENR000073,STU00023,CRS010,2023-02-02,,6,false,2024-05-10
ENR000074,STU00023,CRS012,2024-01-09,,44,false,2025-03-15
ENR000075,STU00023,CRS026,2025-01-24,2025-01-24,100,true,2025-02-10
ENR000076,STU00023,CRS045,2023-06-19,2023-09-21,100,true,2023-09-26
ENR000077,STU00024,CRS036,2024-05-10,,4,false,2024-11-22
ENR000078,STU00024,CRS002,2025-01-26,,82,false,2025-03-06
ENR000079,STU00024,CRS030,2024-11-30,,21,false,2025-03-13
ENR000080,STU00024,CRS047,2024-05-21,,65,false,2024-12-13
ENR000081,STU00024,CRS014,2024-05-13,,35,false,2024-10-02
ENR000082,STU00024,CRS005,2023-12-11,,6,false,2025-01-19
ENR000083,STU00024,CRS045,2025-01-15,,11,false,2025-03-10
ENR000084,STU00024,CRS025,2024-09-15,,6,false,2024-11-22
ENR000085,STU00024,CRS041,2025-01-01,,6,false,2025-02-19
ENR000086,STU00024,CRS006,2024-07-07,,76,false,2024-07-23
ENR000087,STU00025,CRS025,2024-12-25,,5,false,2025-02-20
ENR000088,STU00025,CRS022,2024-12-01,,95,false,2025-03-12
ENR000089,STU00025,CRS042,2024-02-07,,7,false,2024-10-21
ENR000090,STU00025,CRS048,2024-02-21,,10,false,2024-03-19
ENR000091,STU00025,CRS012,2024-01-19,,26,false,2024-08-08
ENR000092,STU00025,CRS020,2024-11-05,,6,false,2025-01-10
ENR000093,STU00025,CRS002,2024-11-07,2025-01-13,100,true,2025-01-19
ENR000094,STU00025,CRS005,2024-03-22,,2,false,2024-11-16
ENR000095,STU00025,CRS021,2023-03-01,,23,false,2023-11-17
ENR000096,STU00025,CRS029,2024-04-11,,42,false,2024-08-18
ENR000097,STU00025,CRS007,2023-07-23,2024-05-16,100,true,2024-05-20
ENR000098,STU00026,CRS036,2024-11-16,,2,false,2025-03-05
ENR000099,STU00026,CRS045,2024-07-26,,98,false,2025-01-25
ENR000100,STU00026,CRS028,2023-12-13,,2,false,2024-03-28
ENR000101,STU00026,CRS046,2024-03-02,,10,false,2024-09-23
ENR000102,STU00026,CRS021,2023-12-09,,8,false,2024-10-19
ENR000103,STU00026,CRS041,2023-12-28,,7,false,2024-01-19
ENR000104,STU00027,CRS034,2024-06-06,2024-08-23,100,true,2024-09-20
ENR000105,STU00027,CRS038,2023-08-16,2025-02-28,100,true,2025-03-14
ENR000106,STU00028,CRS048,2024-05-17,,27,false,2024-06-13
ENR000107,STU00029,CRS038,2024-06-27,,84,false,2024-12-07
ENR000108,STU00030,CRS013,2023-02-14,2024-02-22,100,true,2024-03-16
ENR000109,STU00030,CRS042,2023-06-12,2024-08-11,100,true,2024-08-17
ENR000110,STU00030,CRS038,2023-05-23,2024-09-27,100,true,2024-10-19
ENR000111,STU00030,CRS027,2024-02-14,,34,false,2024-10-09
ENR000112,STU00030,CRS009,2022-05-09,2023-12-07,100,true,2023-12-10
ENR000113,STU00030,CRS034,2024-04-30,,4,false,2024-08-27
ENR000114,STU00031,CRS015,2024-10-20,2024-11-06,100,true,2024-11-07
ENR000115,STU00033,CRS008,2024-11-04,2024-11-10,100,true,2024-11-21
ENR000116,STU00033,CRS050,2024-11-06,,77,false,2025-03-04
ENR000117,STU00034,CRS006,2024-02-21,,9,false,2025-03-05
ENR000118,STU00034,CRS028,2024-10-03,,8,false,2025-03-08
ENR000119,STU00035,CRS002,2024-09-23,2024-12-21,100,true,2024-12-25
ENR000120,STU00035,CRS026,2024-10-15,2024-11-04,100,true,2024-11-23
ENR000121,STU00035,CRS035,2023-03-08,2024-03-31,100,true,2024-04-28
ENR000122,STU00036,CRS024,2024-02-29,2025-02-08,100,true,2025-02-16
ENR000123,STU00036,CRS002,2025-03-05,,72,false,2025-03-09
ENR000124,STU00036,CRS044,2024-10-04,,24,false,2024-11-20
ENR000125,STU00037,CRS045,2023-07-21,,50,false,2024-02-17
ENR000126,STU00037,CRS006,2024-04-29,2024-06-07,100,true,2024-06-09
ENR000127,STU00037,CRS008,2024-03-20,,14,false,2025-01-14
ENR000128,STU00037,CRS023,2023-02-26,,7,false,2023-08-06
ENR000129,STU00037,CRS021,2022-08-24,,75,false,2022-09-28
ENR000130,STU00037,CRS050,2023-06-03,,99,false,2024-06-19
ENR000131,STU00037,CRS005,2024-11-22,,63,false,2024-12-15
ENR000132,STU00037,CRS017,2023-10-21,2024-01-31,100,true,2024-02-13
ENR000133,STU00037,CRS011,2024-06-25,,7,false,2024-06-27
ENR000134,STU00037,CRS044,2024-02-18,,61,false,2024-12-07
ENR000135,STU00037,CRS024,2023-11-22,2025-03-08,100,true,2025-03-12
ENR000136,STU00038,CRS023,2025-02-02,,60,false,2025-02-05
ENR000137,STU00038,CRS041,2025-01-06,,6,false,2025-02-11
ENR000138,STU00038,CRS037,2025-01-15,,48,false,2025-03-09
ENR000139,STU00039,CRS036,2024-09-05,,5,false,2024-10-02
ENR000140,STU00040,CRS029,2024-08-29,,5,false,2025-01-17
ENR000141,STU00040,CRS011,2023-01-13,,88,false,2023-04-24
ENR000142,STU00040,CRS050,2024-07-29,,70,false,2024-12-16
ENR000143,STU00041,CRS025,2024-11-17,2025-02-04,100,true,2025-03-04
ENR000144,STU00041,CRS029,2025-01-23,,6,false,2025-03-03
ENR000145,STU00041,CRS016,2025-03-15,,76,false,2025-03-15
ENR000146,STU00042,CRS047,2024-12-28,2025-03-07,100,true,2025-03-11
ENR000147,STU00042,CRS018,2025-02-27,,2,false,2025-03-03
ENR000148,STU00042,CRS036,2025-02-28,,4,false,2025-03-12
ENR000149,STU00043,CRS005,2024-11-24,,0,false,2024-11-26
ENR000150,STU00043,CRS004,2024-12-10,,0,false,2025-01-26
ENR000151,STU00043,CRS046,2024-10-28,2025-03-03,100,true,2025-03-05
ENR000152,STU00043,CRS029,2024-12-21,,2,false,2025-02-03
ENR000153,STU00043,CRS035,2024-12-19,2025-02-01,100,true,2025-02-10
ENR000154,STU00044,CRS011,2024-11-07,2024-11-27,100,true,2024-12-20
ENR000155,STU00044,CRS026,2024-06-04,,85,false,2024-09-07
ENR000156,STU00044,CRS012,2025-02-13,2025-02-19,100,true,2025-03-01
ENR000157,STU00045,CRS045,2024-05-05,,9,false,2024-10-22
ENR000158,STU00045,CRS047,2024-08-02,2025-02-27,100,true,2025-03-05
ENR000159,STU00045,CRS046,2025-02-08,2025-02-28,100,true,2025-03-02
ENR000160,STU00045,CRS026,2024-08-09,2025-01-04,100,true,2025-01-17
ENR000161,STU00045,CRS012,2024-05-28,,55,false,2024-07-23
ENR000162,STU00045,CRS022,2025-02-28,,1,false,2025-02-28
ENR000163,STU00045,CRS050,2024-12-13,,49,false,2025-01-25
ENR000164,STU00045,CRS019,2024-04-06,,64,false,2024-08-01
ENR000165,STU00045,CRS003,2024-09-04,,9,false,2024-09-06
ENR000166,STU00045,CRS037,2024-08-01,,4,false,2024-08-17
ENR000167,STU00046,CRS036,2023-02-27,,7,false,2023-10-07
ENR000168,STU00046,CRS045,2022-09-02,2024-05-14,100,true,2024-06-09
ENR000169,STU00046,CRS021,2025-02-22,2025-02-25,100,true,2025-02-25
ENR000170,STU00046,CRS041,2023-12-21,,30,false,2024-04-22
ENR000171,STU00046,CRS025,2022-08-16,,5,false,2024-10-24
ENR000172,STU00046,CRS044,2025-03-12,,43,false,2025-03-12
ENR000173,STU00046,CRS002,2022-07-19,2025-02-23,100,true,2025-03-12
ENR000174,STU00046,CRS003,2022-09-27,,12,false,2023-06-03
ENR000175,STU00047,CRS026,2025-02-05,,73,false,2025-02-21
ENR000176,STU00047,CRS005,2024-12-12,,4,false,2025-01-20
ENR000177,STU00047,CRS013,2024-12-01,2025-01-22,100,true,2025-02-02
ENR000178,STU00048,CRS041,2025-02-04,,1,false,2025-02-17
ENR000179,STU00048,CRS048,2025-02-20,,94,false,2025-02-22
ENR000180,STU00048,CRS018,2024-11-16,,9,false,2025-01-23
ENR000181,STU00049,CRS021,2024-12-19,,79,false,2025-03-10
ENR000182,STU00049,CRS024,2023-05-04,2024-06-07,100,true,2024-06-30
ENR000183,STU00050,CRS038,2024-12-30,,6,false,2025-02-26
ENR000184,STU00050,CRS023,2024-11-11,,74,false,2025-03-02
ENR000185,STU00050,CRS027,2025-01-09,,85,false,2025-01-30
ENR000186,STU00050,CRS024,2023-12-06,,1,false,2024-12-30
ENR000187,STU00051,CRS035,2024-09-05,,70,false,2024-09-26
ENR000188,STU00052,CRS013,2025-02-17,,46,false,2025-03-03
ENR000189,STU00052,CRS004,2022-11-01,2024-04-24,100,true,2024-04-27
ENR000190,STU00052,CRS028,2023-01-25,,3,false,2023-03-26
ENR000191,STU00052,CRS025,2023-01-13,,46,false,2023-09-20
ENR000192,STU00052,CRS007,2023-02-26,2023-11-23,100,true,2023-12-22
ENR000193,STU00052,CRS033,2023-10-10,,57,false,2024-01-17
ENR000194,STU00053,CRS041,2025-02-28,2025-03-12,100,true,2025-03-12
ENR000195,STU00053,CRS036,2024-12-13,2025-02-02,100,true,2025-02-22
ENR000196,STU00053,CRS020,2025-01-30,2025-02-01,100,true,2025-02-12
ENR000197,STU00053,CRS018,2024-06-11,2024-11-16,100,true,2024-11-24
ENR000198,STU00053,CRS048,2024-06-29,,64,false,2025-02-08
ENR000199,STU00054,CRS003,2024-12-19,,9,false,2025-03-13
ENR000200,STU00054,CRS005,2024-12-24,,2,false,2025-01-17
ENR000201,STU00054,CRS002,2024-12-02,2025-02-11,100,true,2025-02-22
ENR000202,STU00056,CRS007,2023-10-06,,5,false,2024-04-25
ENR000203,STU00056,CRS030,2024-09-28,,21,false,2025-01-17
ENR000204,STU00056,CRS028,2023-03-22,,88,false,2023-11-04
ENR000205,STU00056,CRS040,2023-06-13,,4,false,2024-10-04
ENR000206,STU00056,CRS038,2023-02-20,,28,false,2024-04-01
ENR000207,STU00056,CRS034,2023-06-08,,23,false,2024-10-08
ENR000208,STU00056,CRS050,2023-11-19,2024-11-04,100,true,2024-11-16
ENR000209,STU00056,CRS042,2023-03-19,2024-04-02,100,true,2024-04-03
ENR000210,STU00056,CRS046,2024-11-14,,9,false,2024-12-22
ENR000211,STU00056,CRS003,2023-09-29,,86,false,2025-03-02
ENR000212,STU00056,CRS045,2024-07-16,2024-09-22,100,true,2024-10-22
ENR000213,STU00059,CRS037,2025-01-13,,31,false,2025-01-17
ENR000214,STU00059,CRS048,2024-09-16,2025-02-23,100,true,2025-03-15
ENR000215,STU00059,CRS005,2024-09-13,,8,false,2024-12-20
ENR000216,STU00061,CRS034,2024-09-06,2024-12-07,100,true,2024-12-21
ENR000217,STU00061,CRS014,2025-01-22,2025-02-01,100,true,2025-02-07
ENR000218,STU00062,CRS024,2023-09-15,,47,false,2024-10-21
ENR000219,STU00063,CRS036,2024-03-14,,96,false,2024-12-25
ENR000220,STU00063,CRS002,2024-11-05,,6,false,2025-03-15
ENR000221,STU00063,CRS040,2025-01-09,,5,false,2025-02-18
ENR000222,STU00063,CRS031,2024-03-19,2024-04-26,100,true,2024-05-26
ENR000223,STU00064,CRS044,2023-11-13,2024-09-29,100,true,2024-10-17
ENR000224,STU00066,CRS036,2022-03-14,,58,false,2022-10-03
ENR000225,STU00066,CRS025,2023-08-15,,3,false,2024-11-12
ENR000226,STU00066,CRS047,2022-03-28,,4,false,2022-09-06
ENR000227,STU00066,CRS007,2024-10-18,,4,false,2024-12-07
ENR000228,STU00066,CRS005,2024-03-26,,20,false,2025-02-27
ENR000229,STU00067,CRS037,2023-03-15,,9,false,2023-09-07
ENR000230,STU00067,CRS016,2022-11-07,,27,false,2023-06-04
ENR000231,STU00067,CRS046,2024-08-14,2025-01-10,100,true,2025-02-05
ENR000232,STU00067,CRS050,2024-11-12,,30,false,2024-11-27
ENR000233,STU00068,CRS037,2024-07-14,,7,false,2025-01-22
ENR000234,STU00068,CRS030,2024-04-11,,7,false,2024-11-18
ENR000235,STU00068,CRS033,2024-03-27,,42,false,2024-11-28
ENR000236,STU00068,CRS006,2024-04-05,2024-10-02,100,true,2024-10-06
ENR000237,STU00068,CRS028,2023-03-07,,53,false,2024-12-22
ENR000238,STU00068,CRS044,2023-07-20,,49,false,2024-06-21
ENR000239,STU00068,CRS007,2024-01-21,,1,false,2024-09-28
ENR000240,STU00068,CRS026,2024-03-05,2024-12-23,100,true,2025-01-11
ENR000241,STU00068,CRS029,2024-08-30,,77,false,2024-10-03
ENR000242,STU00068,CRS047,2024-10-26,,72,false,2024-12-01
ENR000243,STU00068,CRS038,2024-06-20,,45,false,2024-08-31
ENR000244,STU00070,CRS044,2023-11-19,,60,false,2024-06-23
ENR000245,STU00070,CRS038,2024-06-18,,3,false,2024-09-30
ENR000246,STU00070,CRS033,2025-01-31,,9,false,2025-02-22
ENR000247,STU00071,CRS013,2024-01-11,,73,false,2025-03-02
ENR000248,STU00071,CRS042,2023-12-14,,17,false,2024-11-25
ENR000249,STU00071,CRS038,2024-12-11,,5,false,2025-03-13
ENR000250,STU00072,CRS038,2024-10-29,2024-12-29,100,true,2025-01-19
ENR000251,STU00072,CRS024,2024-12-07,2025-01-11,100,true,2025-01-11
ENR000252,STU00073,CRS024,2023-01-18,,0,false,2024-05-11
ENR000253,STU00073,CRS035,2024-05-03,2025-02-12,100,true,2025-02-17
ENR000254,STU00073,CRS038,2023-08-23,,99,false,2024-04-26
ENR000255,STU00073,CRS033,2023-05-06,,7,false,2024-09-03
ENR000256,STU00073,CRS023,2024-09-29,,72,false,2025-01-18
ENR000257,STU00073,CRS040,2023-12-23,,66,false,2024-07-13
ENR000258,STU00073,CRS014,2023-03-01,,66,false,2024-02-29
ENR000259,STU00073,CRS004,2024-04-25,,5,false,2024-10-06
ENR000260,STU00076,CRS047,2023-09-29,,57,false,2024-05-09
ENR000261,STU00076,CRS008,2023-04-30,2024-12-22,100,true,2024-12-23
ENR000262,STU00076,CRS004,2023-05-21,,37,false,2025-02-28
ENR000263,STU00077,CRS046,2023-11-23,,36,false,2024-05-01
ENR000264,STU00078,CRS030,2024-03-19,,3,false,2024-11-06
ENR000265,STU00078,CRS005,2022-11-18,2023-12-29,100,true,2024-01-11
ENR000266,STU00078,CRS021,2022-05-27,2023-12-31,100,true,2024-01-04
ENR000267,STU00079,CRS010,2024-03-15,,79,false,2024-11-09
ENR000268,STU00080,CRS028,2023-03-25,,33,false,2024-04-14
ENR000269,STU00080,CRS026,2023-10-31,,28,false,2024-02-15
ENR000270,STU00080,CRS040,2025-01-10,,2,false,2025-02-20
ENR000271,STU00081,CRS016,2024-08-02,,8,false,2025-01-27
ENR000272,STU00082,CRS050,2024-08-04,,3,false,2025-01-12
ENR000273,STU00082,CRS030,2024-08-12,,10,false,2024-09-04
ENR000274,STU00083,CRS047,2024-05-22,2024-09-24,100,true,2024-09-27
ENR000275,STU00083,CRS017,2024-07-22,,7,false,2024-12-31
ENR000276,STU00084,CRS016,2023-08-16,,0,false,2023-10-02
ENR000277,STU00085,CRS022,2025-02-23,,47,false,2025-02-28
ENR000278,STU00085,CRS018,2025-03-03,,3,false,2025-03-05
ENR000279,STU00085,CRS005,2025-02-13,,13,false,2025-02-16
ENR000280,STU00086,CRS046,2024-09-08,2024-11-29,100,true,2024-12-24
ENR000281,STU00086,CRS038,2024-08-16,2024-10-21,100,true,2024-11-06
ENR000282,STU00086,CRS048,2024-08-16,2024-10-29,100,true,2024-11-11
ENR000283,STU00086,CRS047,2025-02-06,,39,false,2025-03-09
ENR000284,STU00086,CRS024,2025-02-21,2025-03-07,100,true,2025-03-14
ENR000285,STU00086,CRS023,2023-11-13,,8,false,2024-10-13
ENR000286,STU00086,CRS004,2024-05-13,,7,false,2024-11-30
ENR000287,STU00086,CRS017,2024-06-29,,15,false,2024-12-19
ENR000288,STU00086,CRS006,2025-02-27,2025-03-09,100,true,2025-03-14
ENR000289,STU00086,CRS021,2023-10-01,2024-03-16,100,true,2024-03-30
ENR000290,STU00087,CRS033,2025-02-23,2025-02-24,100,true,2025-03-08
ENR000291,STU00087,CRS011,2023-11-23,,66,false,2024-09-08
ENR000292,STU00087,CRS037,2024-05-09,,8,false,2024-12-02
ENR000293,STU00087,CRS021,2023-09-05,,21,false,2024-02-19
ENR000294,STU00087,CRS048,2023-11-05,,7,false,2024-11-16
ENR000295,STU00087,CRS025,2024-12-25,,49,false,2025-02-01
ENR000296,STU00087,CRS050,2024-08-27,,41,false,2025-01-12
ENR000297,STU00087,CRS036,2024-12-22,,83,false,2024-12-29
ENR000298,STU00087,CRS016,2023-06-25,2024-03-31,100,true,2024-04-26
ENR000299,STU00087,CRS022,2024-01-27,,73,false,2025-03-09
ENR000300,STU00087,CRS023,2025-01-29,,66,false,2025-02-24
ENR000301,STU00088,CRS005,2023-03-07,,77,false,2024-10-04
ENR000302,STU00088,CRS042,2024-10-25,,5,false,2025-03-02
ENR000303,STU00088,CRS014,2024-12-14,2025-02-10,100,true,2025-03-12
ENR000304,STU00089,CRS026,2023-09-04,2024-02-10,100,true,2024-02-25
ENR000305,STU00089,CRS037,2023-03-28,,38,false,2023-11-23
ENR000306,STU00089,CRS031,2024-12-10,,10,false,2025-01-28
ENR000307,STU00090,CRS022,2024-02-13,2024-07-10,100,true,2024-08-08
ENR000308,STU00090,CRS003,2024-01-15,2024-03-08,100,true,2024-03-22
ENR000309,STU00090,CRS026,2024-04-22,2025-02-10,100,true,2025-02-18
ENR000310,STU00090,CRS011,2024-03-30,,5,false,2024-11-29
ENR000311,STU00090,CRS033,2024-09-24,2024-10-14,100,true,2024-11-03
ENR000312,STU00091,CRS008,2025-01-26,2025-02-24,100,true,2025-03-06
ENR000313,STU00091,CRS048,2024-12-11,2025-01-27,100,true,2025-02-26
ENR000314,STU00091,CRS003,2024-07-02,2024-10-22,100,true,2024-11-18
ENR000315,STU00092,CRS021,2024-10-30,,9,false,2025-02-12
ENR000316,STU00092,CRS029,2024-06-14,,4,false,2024-08-05
ENR000317,STU00092,CRS027,2024-03-08,,1,false,2024-11-28
ENR000318,STU00092,CRS024,2025-02-23,,99,false,2025-03-15
ENR000319,STU00092,CRS046,2023-11-16,,11,false,2024-06-20
ENR000320,STU00092,CRS020,2023-12-28,,4,false,2024-08-08
ENR000321,STU00093,CRS047,2024-08-17,,91,false,2025-02-25
ENR000322,STU00093,CRS042,2024-10-30,,43,false,2024-12-10
ENR000323,STU00094,CRS014,2025-02-19,,94,false,2025-03-10
ENR000324,STU00094,CRS011,2025-03-05,,3,false,2025-03-11
ENR000325,STU00096,CRS023,2025-01-04,,5,false,2025-02-14
ENR000326,STU00096,CRS022,2024-04-08,,7,false,2024-08-15
ENR000327,STU00096,CRS029,2024-07-21,,5,false,2025-01-23
ENR000328,STU00096,CRS024,2025-01-31,2025-02-04,100,true,2025-02-09
ENR000329,STU00097,CRS045,2024-12-01,,2,false,2025-01-06
ENR000330,STU00097,CRS019,2024-08-13,,50,false,2024-12-11
ENR000331,STU00097,CRS013,2025-02-20,,98,false,2025-03-09
ENR000332,STU00099,CRS037,2024-05-12,,0,false,2025-03-05
ENR000333,STU00099,CRS040,2023-02-13,,7,false,2025-02-24
ENR000334,STU00099,CRS019,2025-03-07,,6,false,2025-03-14
ENR000335,STU00099,CRS034,2025-01-29,,69,false,2025-02-27
ENR000336,STU00099,CRS048,2023-02-12,,5,false,2024-05-24
ENR000337,STU00099,CRS036,2023-07-03,,54,false,2024-05-03
ENR000338,STU00099,CRS010,2023-05-16,,17,false,2023-12-15
ENR000339,STU00099,CRS045,2023-02-23,,8,false,2023-06-16
ENR000340,STU00099,CRS050,2024-03-01,,99,false,2024-07-07
ENR000341,STU00099,CRS021,2023-01-04,,24,false,2023-04-24
ENR000342,STU00099,CRS016,2024-12-21,2025-02-07,100,true,2025-02-26
ENR000343,STU00100,CRS042,2024-07-14,,7,false,2024-11-02
ENR000344,STU00100,CRS003,2024-04-29,2024-11-30,100,true,2024-12-30
ENR000345,STU00100,CRS026,2024-07-04,,41,false,2025-01-08
ENR000346,STU00100,CRS028,2024-06-18,,68,false,2025-02-05
ENR000347,STU00100,CRS034,2024-06-15,2024-11-06,100,true,2024-11-07
ENR000348,STU00100,CRS024,2024-09-19,,71,false,2024-11-01
ENR000349,STU00100,CRS035,2024-08-03,2024-08-11,100,true,2024-08-16
ENR000350,STU00100,CRS020,2024-06-05,,5,false,2025-02-19
ENR000351,STU00101,CRS038,2025-01-26,,8,false,2025-02-19
ENR000352,STU00102,CRS040,2024-12-01,2025-01-01,100,true,2025-01-04
ENR000353,STU00102,CRS022,2024-11-26,2025-02-18,100,true,2025-02-27
ENR000354,STU00102,CRS038,2024-05-05,,9,false,2024-07-09
ENR000355,STU00104,CRS048,2024-10-23,,6,false,2025-02-24
ENR000356,STU00104,CRS027,2024-10-18,,71,false,2025-03-13
ENR000357,STU00104,CRS021,2024-09-01,,62,false,2025-03-09
ENR000358,STU00106,CRS009,2024-11-08,,66,false,2025-01-24
ENR000359,STU00106,CRS027,2025-02-16,,58,false,2025-02-22
ENR000360,STU00106,CRS021,2024-10-20,,2,false,2024-12-17
ENR000361,STU00106,CRS018,2024-11-28,,62,false,2024-12-08
ENR000362,STU00106,CRS023,2023-01-11,,98,false,2025-02-19
ENR000363,STU00106,CRS029,2023-02-16,2023-10-22,100,true,2023-11-17
ENR000364,STU00106,CRS010,2024-03-21,2024-10-26,100,true,2024-11-22
ENR000365,STU00106,CRS004,2025-01-06,,84,false,2025-02-17
ENR000366,STU00106,CRS005,2024-02-14,,62,false,2024-04-25
ENR000367,STU00106,CRS012,2024-07-23,2024-10-16,100,true,2024-10-22
ENR000368,STU00106,CRS041,2024-07-11,,1,false,2025-01-08
ENR000369,STU00107,CRS040,2025-03-10,,54,false,2025-03-15
ENR000370,STU00107,CRS013,2024-12-25,,23,false,2025-01-19
ENR000371,STU00107,CRS045,2024-12-14,,5,false,2024-12-30
ENR000372,STU00107,CRS041,2025-02-27,,5,false,2025-03-12
ENR000373,STU00107,CRS006,2025-02-28,,9,false,2025-03-10
ENR000374,STU00107,CRS048,2024-11-17,,3,false,2024-11-23
ENR000375,STU00108,CRS040,2024-04-02,,7,false,2024-10-30
ENR000376,STU00108,CRS016,2024-01-29,2024-04-23,100,true,2024-05-23
ENR000377,STU00108,CRS044,2023-06-26,,6,false,2023-10-15
ENR000378,STU00110,CRS027,2024-10-31,,7,false,2024-12-11
ENR000379,STU00110,CRS047,2024-04-03,2024-11-16,100,true,2024-11-23
