quiz_id,enrollment_id,student_id,course_id,quiz_number,attempt_number,score,passed,attempt_date
QZ000037,ENR000011,STU00006,CRS022,5,1,41,false,2024-01-23
QZ000038,ENR000011,STU00006,CRS022,5,2,93,true,2024-02-20
QZ000039,ENR000011,STU00006,CRS022,6,1,80,true,2024-06-26
QZ000040,ENR000012,STU00006,CRS019,1,1,82,true,2025-02-12
QZ000041,ENR000012,STU00006,CRS019,2,1,84,true,2025-03-06
QZ000042,ENR000012,STU00006,CRS019,3,1,46,false,2025-02-02
QZ000043,ENR000012,STU00006,CRS019,3,2,69,false,2025-01-16
QZ000044,ENR000012,STU00006,CRS019,3,3,81,true,2025-02-09
QZ000045,ENR000012,STU00006,CRS019,4,1,83,true,2025-03-15
QZ000046,ENR000013,STU00006,CRS014,1,1,63,false,2024-07-12
QZ000047,ENR000013,STU00006,CRS014,1,2,67,false,2024-06-10
QZ000048,ENR000013,STU00006,CRS014,1,3,85,true,2024-04-18
QZ000049,ENR000013,STU00006,CRS014,2,1,93,true,2024-06-01
QZ000050,ENR000013,STU00006,CRS014,3,1,100,true,2024-07-03
QZ000051,ENR000014,STU00006,CRS026,1,1,31,false,2025-01-07
QZ000052,ENR000016,STU00006,CRS038,1,1,60,false,2024-09-09
QZ000053,ENR000016,STU00006,CRS038,1,2,49,false,2024-09-14
QZ000054,ENR000017,STU00006,CRS045,1,1,82,true,2024-10-29
QZ000055,ENR000018,STU00007,CRS024,1,1,35,false,2025-02-22
QZ000056,ENR000018,STU00007,CRS024,2,1,45,false,2025-02-17
QZ000057,ENR000019,STU00008,CRS002,1,1,94,true,2024-11-02
QZ000058,ENR000019,STU00008,CRS002,2,1,47,false,2024-08-13
QZ000059,ENR000019,STU00008,CRS002,3,1,44,false,2024-09-15
QZ000060,ENR000019,STU00008,CRS002,3,2,70,true,2024-11-20
QZ000061,ENR000020,STU00008,CRS042,1,1,60,false,2024-11-08
QZ000062,ENR000020,STU00008,CRS042,1,2,94,true,2024-10-16
QZ000063,ENR000021,STU00009,CRS012,1,1,59,false,2024-12-21
QZ000064,ENR000021,STU00009,CRS012,1,2,54,false,2025-01-11
QZ000065,ENR000022,STU00010,CRS010,1,1,43,false,2025-02-02
QZ000066,ENR000022,STU00010,CRS010,1,2,97,true,2025-01-31
QZ000067,ENR000022,STU00010,CRS010,2,1,99,true,2025-01-03
QZ000068,ENR000022,STU00010,CRS010,3,1,81,true,2025-01-29
QZ000069,ENR000023,STU00010,CRS040,1,1,73,true,2024-12-19
QZ000070,ENR000024,STU00010,CRS045,1,1,63,false,2024-03-03
QZ000071,ENR000024,STU00010,CRS045,1,2,72,true,2024-03-23
QZ000072,ENR000025,STU00011,CRS003,1,1,82,true,2024-04-06
QZ000073,ENR000025,STU00011,CRS003,2,1,42,false,2024-05-03
QZ000074,ENR000025,STU00011,CRS003,2,2,38,false,2024-04-25
QZ000075,ENR000025,STU00011,CRS003,3,1,52,false,2024-04-19
QZ000076,ENR000026,STU00011,CRS004,1,1,93,true,2024-07-04
QZ000077,ENR000026,STU00011,CRS004,2,1,85,true,2024-10-17
QZ000078,ENR000026,STU00011,CRS004,3,1,91,true,2024-05-16
QZ000079,ENR000026,STU00011,CRS004,4,1,72,true,2025-01-11
QZ000080,ENR000026,STU00011,CRS004,4,2,43,false,2024-11-14
QZ000081,ENR000026,STU00011,CRS004,4,3,95,true,2024-06-24
QZ000082,ENR000027,STU00011,CRS020,1,1,49,false,2024-07-24
QZ000083,ENR000028,STU00011,CRS024,1,1,46,false,2024-11-08
QZ000084,ENR000028,STU00011,CRS024,1,2,79,true,2024-10-22
QZ000085,ENR000028,STU00011,CRS024,2,1,70,true,2024-10-31
QZ000086,ENR000028,STU00011,CRS024,2,2,71,true,2024-11-28
QZ000087,ENR000028,STU00011,CRS024,3,1,90,true,2024-09-15
QZ000088,ENR000028,STU00011,CRS024,4,1,81,true,2024-08-17
QZ000089,ENR000028,STU00011,CRS024,5,1,70,true,2024-11-01
QZ000090,ENR000028,STU00011,CRS024,6,1,89,true,2024-09-02
QZ000091,ENR000028,STU00011,CRS024,7,1,81,true,2024-12-09
QZ000092,ENR000029,STU00011,CRS009,1,1,32,false,2023-12-05
QZ000093,ENR000030,STU00012,CRS008,1,1,46,false,2024-09-14
QZ000094,ENR000030,STU00012,CRS008,1,2,69,false,2024-07-14
QZ000095,ENR000031,STU00012,CRS011,1,1,50,false,2023-12-03
QZ000096,ENR000031,STU00012,CRS011,1,2,78,true,2024-01-29
QZ000097,ENR000032,STU00012,CRS014,1,1,75,true,2023-11-07
QZ000098,ENR000032,STU00012,CRS014,1,2,73,true,2024-08-06
QZ000099,ENR000033,STU00013,CRS029,1,1,64,false,2024-11-13
QZ000100,ENR000034,STU00014,CRS018,1,1,87,true,2025-01-24
QZ000101,ENR000034,STU00014,CRS018,2,1,73,true,2024-12-10
QZ000102,ENR000034,STU00014,CRS018,2,2,73,true,2025-02-16
QZ000103,ENR000034,STU00014,CRS018,3,1,70,true,2025-02-20
QZ000104,ENR000034,STU00014,CRS018,4,1,71,true,2025-01-19
QZ000105,ENR000034,STU00014,CRS018,5,1,73,true,2025-02-10
QZ000106,ENR000034,STU00014,CRS018,5,2,94,true,2025-02-04
QZ000107,ENR000034,STU00014,CRS018,6,1,94,true,2024-12-22
QZ000108,ENR000035,STU00014,CRS005,1,1,67,false,2024-04-20
QZ000109,ENR000035,STU00014,CRS005,2,1,61,false,2024-06-02
QZ000110,ENR000035,STU00014,CRS005,2,2,57,false,2024-01-09
QZ000111,ENR000035,STU00014,CRS005,2,3,73,true,2024-05-15
QZ000112,ENR000035,STU00014,CRS005,3,1,40,false,2024-03-26
QZ000113,ENR000035,STU00014,CRS005,4,1,78,true,2024-05-30
QZ000114,ENR000035,STU00014,CRS005,5,1,82,true,2024-05-10
QZ000115,ENR000036,STU00015,CRS006,1,1,90,true,2024-08-22
QZ000116,ENR000036,STU00015,CRS006,2,1,82,true,2024-08-13
QZ000117,ENR000036,STU00015,CRS006,3,1,73,true,2024-08-15
QZ000118,ENR000036,STU00015,CRS006,4,1,33,false,2024-08-20
QZ000119,ENR000037,STU00015,CRS020,1,1,59,false,2025-03-06
QZ000120,ENR000037,STU00015,CRS020,1,2,53,false,2024-12-31
QZ000121,ENR000037,STU00015,CRS020,1,3,80,true,2025-03-03
QZ000122,ENR000037,STU00015,CRS020,2,1,97,true,2025-01-20
QZ000123,ENR000038,STU00015,CRS011,1,1,68,false,2024-09-11
QZ000124,ENR000038,STU00015,CRS011,1,2,52,false,2024-10-11
QZ000125,ENR000039,STU00015,CRS047,1,1,56,false,2024-05-24
QZ000126,ENR000039,STU00015,CRS047,1,2,48,false,2024-05-14
QZ000127,ENR000039,STU00015,CRS047,1,3,64,false,2024-05-24
QZ000128,ENR000040,STU00015,CRS050,1,1,49,false,2024-08-31
QZ000129,ENR000040,STU00015,CRS050,1,2,68,false,2024-05-20
QZ000130,ENR000040,STU00015,CRS050,1,3,99,true,2024-05-13
QZ000131,ENR000040,STU00015,CRS050,2,1,87,true,2024-06-05
QZ000132,ENR000040,STU00015,CRS050,3,1,69,false,2024-11-08
QZ000133,ENR000040,STU00015,CRS050,3,2,77,true,2024-05-07
QZ000134,ENR000041,STU00015,CRS005,1,1,88,true,2024-11-08
QZ000135,ENR000041,STU00015,CRS005,2,1,74,true,2024-09-27
QZ000136,ENR000041,STU00015,CRS005,3,1,81,true,2024-09-17
QZ000137,ENR000041,STU00015,CRS005,4,1,61,false,2024-08-27
QZ000138,ENR000041,STU00015,CRS005,5,1,59,false,2024-10-23
QZ000139,ENR000042,STU00015,CRS003,1,1,87,true,2024-09-02
QZ000140,ENR000043,STU00015,CRS035,1,1,50,false,2025-03-08
QZ000141,ENR000043,STU00015,CRS035,1,2,79,true,2025-03-06
QZ000142,ENR000046,STU00015,CRS024,1,1,79,true,2024-03-11
QZ000143,ENR000047,STU00017,CRS005,1,1,33,false,2023-04-03
QZ000144,ENR000047,STU00017,CRS005,2,1,68,false,2023-04-21
QZ000145,ENR000047,STU00017,CRS005,2,2,50,false,2024-05-25
QZ000146,ENR000047,STU00017,CRS005,3,1,44,false,2023-12-10
QZ000147,ENR000047,STU00017,CRS005,4,1,81,true,2023-10-27
QZ000148,ENR000047,STU00017,CRS005,5,1,73,true,2023-09-26
QZ000149,ENR000048,STU00017,CRS006,1,1,47,false,2024-06-04
QZ000150,ENR000048,STU00017,CRS006,2,1,37,false,2024-06-03
QZ000151,ENR000049,STU00017,CRS050,1,1,41,false,2023-08-02
QZ000152,ENR000050,STU00018,CRS044,1,1,51,false,2023-03-31
QZ000153,ENR000051,STU00020,CRS042,1,1,45,false,2023-11-25
QZ000154,ENR000051,STU00020,CRS042,1,2,99,true,2024-02-01
QZ000155,ENR000051,STU00020,CRS042,2,1,60,false,2024-04-17
QZ000156,ENR000051,STU00020,CRS042,2,2,88,true,2024-02-13
QZ000157,ENR000051,STU00020,CRS042,3,1,93,true,2023-12-10
QZ000158,ENR000053,STU00020,CRS006,1,1,95,true,2024-08-11
QZ000159,ENR000053,STU00020,CRS006,2,1,72,true,2024-07-19
QZ000160,ENR000053,STU00020,CRS006,3,1,41,false,2024-06-09
QZ000161,ENR000053,STU00020,CRS006,3,2,80,true,2024-08-10
QZ000162,ENR000056,STU00020,CRS046,1,1,31,false,2024-05-13
QZ000163,ENR000057,STU00020,CRS020,1,1,33,false,2024-10-14
QZ000164,ENR000058,STU00020,CRS040,1,1,49,false,2024-11-17
QZ000165,ENR000058,STU00020,CRS040,1,2,39,false,2024-12-19
QZ000166,ENR000060,STU00020,CRS019,1,1,78,true,2025-02-08
QZ000167,ENR000060,STU00020,CRS019,2,1,98,true,2023-11-11
QZ000168,ENR000060,STU00020,CRS019,3,1,91,true,2024-12-27
QZ000169,ENR000060,STU00020,CRS019,4,1,97,true,2023-12-29
QZ000170,ENR000063,STU00021,CRS019,1,1,75,true,2024-07-29
QZ000171,ENR000063,STU00021,CRS019,1,2,82,true,2024-09-02
QZ000172,ENR000063,STU00021,CRS019,2,1,38,false,2024-07-04
QZ000173,ENR000065,STU00021,CRS014,1,1,61,false,2024-05-04
QZ000174,ENR000066,STU00022,CRS004,1,1,36,false,2024-10-26
QZ000175,ENR000066,STU00022,CRS004,2,1,64,false,2024-10-31
QZ000176,ENR000066,STU00022,CRS004,3,1,78,true,2024-10-29
QZ000177,ENR000067,STU00022,CRS031,1,1,48,false,2025-02-14
QZ000178,ENR000067,STU00022,CRS031,2,1,48,false,2025-02-14
QZ000179,ENR000067,STU00022,CRS031,2,2,52,false,2025-02-17
QZ000180,ENR000067,STU00022,CRS031,2,3,36,false,2025-02-09
QZ000181,ENR000068,STU00022,CRS009,1,1,75,true,2024-12-18
QZ000182,ENR000068,STU00022,CRS009,1,2,75,true,2024-10-13
QZ000183,ENR000068,STU00022,CRS009,2,1,94,true,2024-12-14
QZ000184,ENR000068,STU00022,CRS009,3,1,44,false,2024-11-30
QZ000185,ENR000069,STU00022,CRS033,1,1,97,true,2025-02-06
QZ000186,ENR000069,STU00022,CRS033,2,1,88,true,2025-02-09
QZ000187,ENR000069,STU00022,CRS033,3,1,49,false,2025-01-26
QZ000188,ENR000069,STU00022,CRS033,3,2,78,true,2025-01-29
QZ000189,ENR000069,STU00022,CRS033,4,1,85,true,2025-01-21
QZ000190,ENR000070,STU00022,CRS041,1,1,93,true,2024-11-30
QZ000191,ENR000071,STU00022,CRS014,1,1,47,false,2024-10-28
QZ000192,ENR000074,STU00023,CRS012,1,1,75,true,2024-11-11
QZ000193,ENR000074,STU00023,CRS012,2,1,54,false,2024-05-25
QZ000194,ENR000074,STU00023,CRS012,2,2,52,false,2024-11-26
QZ000195,ENR000074,STU00023,CRS012,2,3,57,false,2025-03-02
QZ000196,ENR000075,STU00023,CRS026,1,1,71,true,2025-02-02
QZ000197,ENR000075,STU00023,CRS026,2,1,42,false,2025-02-07
QZ000198,ENR000075,STU00023,CRS026,2,2,62,false,2025-02-08
QZ000199,ENR000075,STU00023,CRS026,2,3,80,true,2025-02-08
QZ000200,ENR000075,STU00023,CRS026,3,1,63,false,2025-01-28
QZ000201,ENR000075,STU00023,CRS026,3,2,98,true,2025-02-01
QZ000202,ENR000075,STU00023,CRS026,4,1,50,false,2025-02-05
QZ000203,ENR000075,STU00023,CRS026,4,2,75,true,2025-02-09
QZ000204,ENR000076,STU00023,CRS045,1,1,86,true,2023-08-09
QZ000205,ENR000077,STU00024,CRS036,1,1,53,false,2024-09-24
QZ000206,ENR000078,STU00024,CRS002,1,1,30,false,2025-02-15
QZ000207,ENR000078,STU00024,CRS002,2,1,56,false,2025-02-05
QZ000208,ENR000078,STU00024,CRS002,3,1,41,false,2025-02-17
QZ000209,ENR000078,STU00024,CRS002,4,1,33,false,2025-02-21
QZ000210,ENR000079,STU00024,CRS030,1,1,30,false,2025-02-19
QZ000211,ENR000080,STU00024,CRS047,1,1,58,false,2024-12-07
QZ000212,ENR000080,STU00024,CRS047,1,2,60,false,2024-10-10
QZ000213,ENR000080,STU00024,CRS047,1,3,70,true,2024-06-25
QZ000214,ENR000080,STU00024,CRS047,2,1,36,false,2024-09-23
QZ000215,ENR000080,STU00024,CRS047,3,1,35,false,2024-12-06
QZ000216,ENR000081,STU00024,CRS014,1,1,73,true,2024-05-17
QZ000217,ENR000083,STU00024,CRS045,1,1,65,false,2025-02-17
QZ000218,ENR000086,STU00024,CRS006,1,1,90,true,2024-07-07
QZ000219,ENR000086,STU00024,CRS006,2,1,43,false,2024-07-12
QZ000220,ENR000086,STU00024,CRS006,3,1,63,false,2024-07-19
QZ000221,ENR000086,STU00024,CRS006,4,1,65,false,2024-07-23
QZ000222,ENR000088,STU00025,CRS022,1,1,69,false,2025-03-03
QZ000223,ENR000088,STU00025,CRS022,2,1,42,false,2025-01-29
QZ000224,ENR000088,STU00025,CRS022,3,1,50,false,2025-01-03
QZ000225,ENR000088,STU00025,CRS022,3,2,49,false,2024-12-06
QZ000226,ENR000088,STU00025,CRS022,4,1,64,false,2024-12-05
QZ000227,ENR000088,STU00025,CRS022,4,2,53,false,2024-12-22
QZ000228,ENR000088,STU00025,CRS022,4,3,79,true,2025-01-26
QZ000229,ENR000088,STU00025,CRS022,5,1,90,true,2025-02-26
QZ000230,ENR000089,STU00025,CRS042,1,1,38,false,2024-08-01
QZ000231,ENR000090,STU00025,CRS048,1,1,79,true,2024-02-28
QZ000232,ENR000091,STU00025,CRS012,1,1,57,false,2024-06-30
QZ000233,ENR000092,STU00025,CRS020,1,1,64,false,2024-11-24
QZ000234,ENR000093,STU00025,CRS002,1,1,49,false,2024-12-18
QZ000235,ENR000093,STU00025,CRS002,1,2,53,false,2025-01-09
QZ000236,ENR000093,STU00025,CRS002,1,3,90,true,2025-01-06
QZ000237,ENR000093,STU00025,CRS002,2,1,89,true,2025-01-12
QZ000238,ENR000093,STU00025,CRS002,3,1,77,true,2024-11-30
QZ000239,ENR000093,STU00025,CRS002,4,1,95,true,2025-01-02
QZ000240,ENR000093,STU00025,CRS002,5,1,72,true,2025-01-10
QZ000241,ENR000093,STU00025,CRS002,5,2,95,true,2024-12-26
QZ000242,ENR000095,STU00025,CRS021,1,1,33,false,2023-04-30
QZ000243,ENR000096,STU00025,CRS029,1,1,53,false,2024-08-14
QZ000244,ENR000096,STU00025,CRS029,1,2,54,false,2024-08-16
QZ000245,ENR000096,STU00025,CRS029,1,3,35,false,2024-08-16
QZ000246,ENR000097,STU00025,CRS007,1,1,98,true,2023-12-27
QZ000247,ENR000097,STU00025,CRS007,2,1,46,false,2024-02-17
QZ000248,ENR000097,STU00025,CRS007,2,2,99,true,2023-10-08
QZ000249,ENR000097,STU00025,CRS007,3,1,75,true,2024-01-16
QZ000250,ENR000097,STU00025,CRS007,3,2,91,true,2024-03-09
QZ000251,ENR000097,STU00025,CRS007,4,1,76,true,2024-03-28
QZ000252,ENR000098,STU00026,CRS036,1,1,33,false,2025-01-01
QZ000253,ENR000099,STU00026,CRS045,1,1,77,true,2024-10-03
QZ000254,ENR000100,STU00026,CRS028,1,1,42,false,2024-03-24
QZ000255,ENR000101,STU00026,CRS046,1,1,41,false,2024-05-17
QZ000256,ENR000104,STU00027,CRS034,1,1,56,false,2024-06-15
QZ000257,ENR000104,STU00027,CRS034,1,2,71,true,2024-06-30
QZ000258,ENR000105,STU00027,CRS038,1,1,86,true,2024-07-12
QZ000259,ENR000105,STU00027,CRS038,2,1,92,true,2024-06-10
QZ000260,ENR000105,STU00027,CRS038,3,1,70,true,2024-09-01
QZ000261,ENR000105,STU00027,CRS038,4,1,75,true,2023-12-16
QZ000262,ENR000105,STU00027,CRS038,4,2,94,true,2024-04-13
QZ000263,ENR000105,STU00027,CRS038,5,1,89,true,2024-05-01
QZ000264,ENR000105,STU00027,CRS038,6,1,91,true,2025-03-11
QZ000265,ENR000106,STU00028,CRS048,1,1,47,false,2024-06-07
QZ000266,ENR000106,STU00028,CRS048,1,2,84,true,2024-05-27
QZ000267,ENR000107,STU00029,CRS038,1,1,69,false,2024-11-16
QZ000268,ENR000107,STU00029,CRS038,2,1,49,false,2024-11-14
QZ000269,ENR000107,STU00029,CRS038,3,1,49,false,2024-07-29
QZ000270,ENR000107,STU00029,CRS038,4,1,94,true,2024-08-01
QZ000271,ENR000107,STU00029,CRS038,5,1,47,false,2024-08-20
QZ000272,ENR000108,STU00030,CRS013,1,1,81,true,2023-06-30
QZ000273,ENR000108,STU00030,CRS013,2,1,90,true,2023-02-23
QZ000274,ENR000108,STU00030,CRS013,3,1,88,true,2023-05-21
QZ000275,ENR000108,STU00030,CRS013,4,1,86,true,2024-03-10
QZ000276,ENR000108,STU00030,CRS013,5,1,70,true,2024-02-03
QZ000277,ENR000108,STU00030,CRS013,5,2,79,true,2024-01-07
QZ000278,ENR000109,STU00030,CRS042,1,1,42,false,2024-03-19
QZ000279,ENR000109,STU00030,CRS042,1,2,90,true,2023-09-02
QZ000280,ENR000109,STU00030,CRS042,2,1,74,true,2024-06-07
QZ000281,ENR000109,STU00030,CRS042,3,1,76,true,2023-12-10
QZ000282,ENR000110,STU00030,CRS038,1,1,54,false,2023-06-08
QZ000283,ENR000110,STU00030,CRS038,1,2,65,false,2024-07-21
QZ000284,ENR000110,STU00030,CRS038,1,3,85,true,2024-06-19
QZ000285,ENR000110,STU00030,CRS038,2,1,47,false,2023-05-29
QZ000286,ENR000110,STU00030,CRS038,2,2,94,true,2024-01-25
QZ000287,ENR000110,STU00030,CRS038,3,1,94,true,2024-07-01
QZ000288,ENR000110,STU00030,CRS038,4,1,100,true,2023-09-23
QZ000289,ENR000110,STU00030,CRS038,5,1,55,false,2024-09-02
QZ000290,ENR000110,STU00030,CRS038,5,2,71,true,2024-03-04
QZ000291,ENR000110,STU00030,CRS038,6,1,89,true,2023-12-18
QZ000292,ENR000111,STU00030,CRS027,1,1,41,false,2024-05-07
QZ000293,ENR000111,STU00030,CRS027,1,2,52,false,2024-05-12
QZ000294,ENR000112,STU00030,CRS009,1,1,80,true,2023-06-23
QZ000295,ENR000112,STU00030,CRS009,2,1,80,true,2022-05-26
QZ000296,ENR000112,STU00030,CRS009,3,1,87,true,2023-04-04
QZ000297,ENR000112,STU00030,CRS009,4,1,70,true,2022-08-13
QZ000298,ENR000114,STU00031,CRS015,1,1,93,true,2024-11-05
QZ000299,ENR000114,STU00031,CRS015,2,1,87,true,2024-11-06
QZ000300,ENR000114,STU00031,CRS015,3,1,70,true,2024-11-05
QZ000301,ENR000114,STU00031,CRS015,3,2,74,true,2024-11-06
QZ000302,ENR000114,STU00031,CRS015,3,3,83,true,2024-10-21
QZ000303,ENR000114,STU00031,CRS015,4,1,84,true,2024-11-04
QZ000304,ENR000114,STU00031,CRS015,5,1,87,true,2024-10-26
QZ000305,ENR000115,STU00033,CRS008,1,1,56,false,2024-11-18
QZ000306,ENR000115,STU00033,CRS008,1,2,88,true,2024-11-09
QZ000307,ENR000115,STU00033,CRS008,2,1,72,true,2024-11-09
QZ000308,ENR000115,STU00033,CRS008,2,2,49,false,2024-11-04
QZ000309,ENR000115,STU00033,CRS008,2,3,96,true,2024-11-19
QZ000310,ENR000116,STU00033,CRS050,1,1,41,false,2025-01-02
QZ000311,ENR000116,STU00033,CRS050,1,2,50,false,2025-01-06
QZ000312,ENR000116,STU00033,CRS050,1,3,93,true,2024-12-20
QZ000313,ENR000116,STU00033,CRS050,2,1,40,false,2025-01-02
QZ000314,ENR000117,STU00034,CRS006,1,1,53,false,2024-11-12
QZ000315,ENR000119,STU00035,CRS002,1,1,72,true,2024-11-22
QZ000316,ENR000119,STU00035,CRS002,2,1,100,true,2024-11-06
QZ000317,ENR000119,STU00035,CRS002,3,1,93,true,2024-11-20
QZ000318,ENR000119,STU00035,CRS002,4,1,73,true,2024-11-18
QZ000319,ENR000119,STU00035,CRS002,5,1,77,true,2024-10-04
QZ000320,ENR000120,STU00035,CRS026,1,1,91,true,2024-10-24
QZ000321,ENR000120,STU00035,CRS026,2,1,97,true,2024-11-17
QZ000322,ENR000120,STU00035,CRS026,3,1,86,true,2024-10-31
QZ000323,ENR000120,STU00035,CRS026,4,1,95,true,2024-11-15
QZ000324,ENR000121,STU00035,CRS035,1,1,74,true,2023-07-22
QZ000325,ENR000121,STU00035,CRS035,1,2,96,true,2023-03-24
QZ000326,ENR000121,STU00035,CRS035,2,1,40,false,2023-10-08
QZ000327,ENR000121,STU00035,CRS035,2,2,76,true,2023-07-30
QZ000328,ENR000121,STU00035,CRS035,3,1,92,true,2024-02-14
QZ000329,ENR000121,STU00035,CRS035,4,1,87,true,2023-08-02
QZ000330,ENR000121,STU00035,CRS035,5,1,93,true,2024-03-26
QZ000331,ENR000121,STU00035,CRS035,6,1,58,false,2023-06-13
QZ000332,ENR000121,STU00035,CRS035,6,2,87,true,2023-11-12
QZ000333,ENR000121,STU00035,CRS035,7,1,65,false,2023-04-18
QZ000334,ENR000121,STU00035,CRS035,7,2,54,false,2023-08-21
QZ000335,ENR000121,STU00035,CRS035,7,3,88,true,2023-12-16
QZ000336,ENR000122,STU00036,CRS024,1,1,77,true,2024-04-16
QZ000337,ENR000122,STU00036,CRS024,2,1,89,true,2024-07-13
QZ000338,ENR000122,STU00036,CRS024,3,1,100,true,2024-03-23
QZ000339,ENR000122,STU00036,CRS024,4,1,70,true,2024-11-16
QZ000340,ENR000122,STU00036,CRS024,5,1,55,false,2024-08-19
QZ000341,ENR000122,STU00036,CRS024,5,2,96,true,2024-08-25
QZ000342,ENR000122,STU00036,CRS024,6,1,77,true,2024-10-22
QZ000343,ENR000122,STU00036,CRS024,7,1,71,true,2024-07-04
QZ000344,ENR000123,STU00036,CRS002,1,1,59,false,2025-03-06
QZ000345,ENR000123,STU00036,CRS002,2,1,87,true,2025-03-09
QZ000346,ENR000123,STU00036,CRS002,3,1,94,true,2025-03-06
QZ000347,ENR000124,STU00036,CRS044,1,1,53,false,2024-10-07
QZ000348,ENR000125,STU00037,CRS045,1,1,31,false,2024-01-21
QZ000349,ENR000126,STU00037,CRS006,1,1,96,true,2024-06-08
QZ000350,ENR000126,STU00037,CRS006,2,1,58,false,2024-05-20
QZ000351,ENR000126,STU00037,CRS006,2,2,85,true,2024-05-07
QZ000352,ENR000126,STU00037,CRS006,3,1,76,true,2024-05-28
QZ000353,ENR000126,STU00037,CRS006,4,1,67,false,2024-05-31
QZ000354,ENR000126,STU00037,CRS006,4,2,44,false,2024-06-07
QZ000355,ENR000126,STU00037,CRS006,4,3,86,true,2024-05-11
QZ000356,ENR000126,STU00037,CRS006,5,1,78,true,2024-05-28
QZ000357,ENR000126,STU00037,CRS006,6,1,70,true,2024-04-30
QZ000358,ENR000127,STU00037,CRS008,1,1,41,false,2024-10-21
QZ000359,ENR000129,STU00037,CRS021,1,1,40,false,2022-09-20
QZ000360,ENR000129,STU00037,CRS021,2,1,71,true,2022-09-25
QZ000361,ENR000129,STU00037,CRS021,2,2,74,true,2022-09-08
QZ000362,ENR000129,STU00037,CRS021,3,1,36,false,2022-09-05
QZ000363,ENR000129,STU00037,CRS021,4,1,49,false,2022-09-08
QZ000364,ENR000129,STU00037,CRS021,5,1,82,true,2022-08-27
QZ000365,ENR000130,STU00037,CRS050,1,1,44,false,2024-05-10
QZ000366,ENR000130,STU00037,CRS050,1,2,58,false,2024-03-13
QZ000367,ENR000130,STU00037,CRS050,2,1,35,false,2023-09-15
QZ000368,ENR000131,STU00037,CRS005,1,1,71,true,2024-12-01
QZ000369,ENR000131,STU00037,CRS005,2,1,92,true,2024-12-10
QZ000370,ENR000131,STU00037,CRS005,3,1,42,false,2024-11-22
QZ000371,ENR000132,STU00037,CRS017,1,1,70,true,2023-10-24
QZ000372,ENR000132,STU00037,CRS017,1,2,72,true,2023-11-01
QZ000373,ENR000132,STU00037,CRS017,2,1,88,true,2023-10-31
QZ000374,ENR000132,STU00037,CRS017,3,1,64,false,2023-11-15
QZ000375,ENR000132,STU00037,CRS017,3,2,57,false,2024-01-20
QZ000376,ENR000132,STU00037,CRS017,3,3,71,true,2023-11-19
